keyword,Data Analyst Entry level,Data Analyst Senior,Data Analyst Associate,Data Scientist Entry level,Data Scientist Senior,Data Scientist Associate,Consultant Entry level,Consultant Senior,Consultant Associate,Data Engineer Entry level,Data Engineer Senior,Data Engineer Associate,Machine Learning Engineer Entry level,Machine Learning Engineer Senior,Machine Learning Engineer Associate,Big Data Developer Entry level,Big Data Developer Senior,Big Data Developer Associate
physics,96,19,81,303,122,134,9,0,12,33,10,8,21,2,14,8,4,5
pipelinedb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
plotly,7,3,1,25,4,10,1,0,1,1,0,0,0,1,1,0,0,0
postgresql,26,5,20,58,25,21,0,1,4,20,4,14,3,0,1,6,5,2
powerbi,348,75,194,251,42,49,3,2,10,14,15,12,7,3,0,4,1,2
prestodb,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
psychology,14,0,7,11,3,5,1,0,0,0,1,0,3,0,0,0,0,1
pypi,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
pyspark,18,7,10,57,28,46,0,1,1,12,14,5,3,0,2,7,5,2
python,722,229,433,2253,811,684,43,42,57,253,114,96,155,46,43,68,37,27
pytorch,12,2,5,120,74,52,0,1,0,4,7,3,11,12,13,0,2,1
qlik,160,35,94,147,36,40,1,8,16,10,9,5,1,3,1,4,5,3
rcnn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
react,37,4,6,68,18,19,4,2,5,6,5,19,1,0,2,6,3,5
redshift,37,12,30,72,28,23,0,2,1,12,7,25,1,1,0,1,3,1
reduce,42,17,38,161,73,66,0,5,9,45,30,31,4,5,2,14,5,3
sap,134,31,96,105,23,21,1,1,9,21,4,10,0,0,0,5,2,8
sas,257,70,128,525,130,109,10,12,23,19,13,9,8,4,3,8,9,6
scala,142,52,87,438,228,193,12,17,15,145,68,95,32,16,9,79,31,48
scikit,21,6,10,242,86,72,0,6,2,24,4,1,32,10,12,3,0,0
scipy,6,1,5,74,23,22,0,0,0,15,2,0,5,1,0,0,0,0
seaborn,6,2,6,18,10,7,0,0,0,3,2,0,1,0,0,0,0,0
spark,145,62,84,694,270,252,16,29,42,195,97,111,39,12,13,98,45,62
splunk,19,1,5,30,1,1,0,0,0,11,1,2,0,0,0,1,1,0
spss,79,28,39,104,43,27,2,7,8,10,4,2,0,3,0,1,0,1
sql,1141,309,622,1559,513,423,33,29,44,252,88,119,73,19,16,77,28,29
statistics,589,142,332,1233,510,501,29,32,27,61,27,28,66,22,22,22,11,9
tableau,473,173,252,410,100,104,10,9,24,33,33,14,8,2,0,16,6,2
tensorflow,28,5,15,337,174,134,6,13,10,32,18,4,47,22,20,4,6,3
ubuntu,4,0,1,17,1,2,0,0,0,1,1,4,0,0,0,4,0,0
unix,17,8,13,64,21,24,2,1,1,19,12,14,3,0,3,7,8,3
vba,119,17,52,26,27,12,0,1,1,2,2,1,0,0,1,0,0,2
vista,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
visual,670,188,390,953,267,271,15,22,25,61,28,37,30,9,16,11,14,3
r,628,187,353,1696,586,525,39,42,57,104,55,42,95,25,25,32,13,11
