industry_v2,Big Data Developer Associate,Big Data Developer Entry level,Big Data Developer Senior,Consultant Associate,Consultant Entry level,Consultant Senior,Data Analyst Associate,Data Analyst Entry level,Data Analyst Senior,Data Engineer Associate,Data Engineer Entry level,Data Engineer Senior,Data Scientist Associate,Data Scientist Entry level,Data Scientist Senior,Machine Learning Engineer Associate,Machine Learning Engineer Entry level,Machine Learning Engineer Senior
Maritime,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Market Research,0,0,0,0,0,0,11,16,5,0,0,1,11,47,8,0,0,3
Marketing and Advertising,7,12,4,7,3,1,137,298,39,22,30,5,99,474,68,2,15,6
Mechanical or Industrial Engineering,1,2,2,0,1,0,18,62,7,1,7,2,13,109,26,1,2,3
Media Production,0,0,0,0,0,0,3,0,2,0,0,0,0,5,6,0,0,0
Medical Devices,0,0,2,0,1,0,6,10,4,1,1,1,8,23,9,0,2,1
Medical Practice,0,0,0,0,0,0,0,5,0,0,1,0,6,1,2,0,0,0
Mental Health Care,0,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,0,0
Military,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mining & Metals,0,0,0,0,0,0,4,1,0,0,1,0,0,4,1,0,0,0
Music,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0
Nanotechnology,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0
Newspapers,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0
Non-Profit Organization Management,0,2,0,0,0,0,20,62,4,0,2,0,11,36,2,0,0,0
Not Applicable,1,3,0,3,2,0,2,13,0,0,3,0,2,45,2,0,2,0
Oil & Energy,1,0,0,0,0,0,8,25,8,3,3,3,7,49,25,0,0,0
Online Media,0,1,0,0,0,0,25,42,6,2,2,1,14,39,12,1,1,1
Others,16,42,9,35,17,4,153,304,39,30,64,14,167,494,103,11,25,2
Outsourcing/Offshoring,0,0,0,0,0,0,2,6,1,0,1,0,0,5,3,0,0,0
Packaging and Containers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paper & Forest Products,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0
Pharmaceuticals,0,0,0,3,0,0,17,14,5,0,1,1,38,40,17,0,0,1
Philanthropy,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
Primary/Secondary Education,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0
Professional Training & Coaching,0,0,0,1,0,0,0,2,0,0,0,0,10,7,1,4,0,0
Program Development,0,0,0,2,0,0,0,1,0,0,0,0,2,1,3,0,0,0
Public Policy,0,0,0,0,0,0,1,3,0,0,0,0,2,3,1,0,0,0
Public Relations and Communications,0,0,0,0,0,0,4,3,1,0,1,0,2,3,1,0,0,0
Public Safety,0,0,0,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0
Publishing,0,0,0,0,0,0,1,5,0,1,0,0,0,7,2,0,0,0
Real Estate,0,0,1,0,0,0,4,16,2,0,0,0,3,10,2,0,0,0
Recreational Facilities and Services,0,0,0,0,0,0,2,1,0,0,1,0,1,2,0,0,0,0
Religious Institutions,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Renewables & Environment,0,0,0,0,0,0,4,3,0,2,2,1,3,8,3,0,0,0
Research,0,1,0,1,1,2,27,38,2,0,1,3,104,94,20,12,7,1
Restaurants,0,0,0,0,0,0,6,8,0,0,0,0,0,3,1,0,0,0
Retail,1,4,0,2,1,1,57,69,24,5,3,3,31,55,34,0,0,2
Security and Investigations,0,0,0,0,0,0,0,3,1,0,0,0,0,2,3,0,0,0
Semiconductors,0,0,0,0,0,0,0,2,2,0,1,4,1,6,4,1,0,1
Sports,0,0,0,0,0,0,1,3,1,0,0,0,1,2,2,0,0,1
Staffing and Recruiting,4,31,0,3,5,1,135,456,9,14,35,3,71,392,40,6,13,3
Supermarkets,0,0,0,1,0,0,2,4,1,0,1,1,1,3,0,0,0,0
Telecommunications,0,4,2,2,0,1,19,19,8,8,8,7,7,27,30,1,2,0
Think Tanks,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Tobacco,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Translation and Localization,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Transportation/Trucking/Railroad,0,1,0,0,0,0,0,11,2,0,0,0,2,7,6,0,0,0
Utilities,0,0,0,0,0,0,2,9,6,1,0,1,0,1,4,1,0,0
Venture Capital & Private Equity,0,0,0,0,0,0,0,1,0,0,0,0,4,1,3,0,0,0
Veterinary,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0
Warehousing,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Wholesale,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,0,0,0
Wireless,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Writing and Editing,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
