keyword
requirements
requirement
required
require
skills
skill
skillset
experience
capability
capabilities
competency
competencies
qualification
qualifications
you look like
knowledge
what need
looking for
background
succeed
successful
success
who apply
you bring
specification
specifications
who you are
criteria
you be
expertise
characteristics
asset
about you
qualities
fit
profile
ideal
essential
desirable
must have
you have
must haves
nice have
nice haves
will have
expertise
